formula_pretty,avg_atomic_number,avg_electronegativity,valence_electron_count,fraction_transition_metals,nelements,density,volume,nsites,crystal_system,spacegroup_number,point_group,formation_energy_per_atom,energy_above_hull,band_gap
Li4Al3Si3ClO12,8.956521739,2.560434783,12.7826087,0,5,2.247850376,621.1345355,46,Cubic,218,-43m,-3.122293325,0,5.4534
H2O,3.333333333,2.613333333,6,0,2,1.64735617,36.318893,6,Tetragonal,102,4mm,-1.254777948,0.025225045,5.2754
H2O,3.333333333,2.613333333,6,0,2,1.042226915,344.4364269,36,Hexagonal,185,6mm,-1.27891978,0.001083213,5.5287
NaEr(SO4)2,14.58333333,2.904166667,13.66666667,0,4,3.963036039,320.4345899,24,Monoclinic,11,2/m,-2.53523265,0,5.7302
PH14C4NO4,3.833333333,2.499583333,6.833333333,0,5,1.257174479,904.1590097,96,Triclinic,2,-1,-0.790886644,0.050907415,5.5565
PH5NO4,5.363636364,2.726363636,9,0,4,1.954938968,387.3899926,44,Monoclinic,14,2/m,-1.470626498,0.058003382,5.6995
Na7Zr6F31,13.54545455,3.133409091,12.68181818,0.136363636,3,3.956805361,544.4011218,44,Trigonal,146,3,-3.743273564,0.003418113,5.2616
Y2SiP4O15,12.36363636,2.940909091,14.54545455,0.090909091,4,2.881344112,656.7402616,44,Orthorhombic,18,222,-3.178789288,0,5.7959
NaAlF4,10,3.076666667,13.66666667,0,3,2.592522051,80.68192582,6,Tetragonal,123,4/mmm,-3.506218882,0.104020722,5.7762
Rb5H5(OF3)2,14.44444444,2.547777778,8,0,4,3.207804797,1197.582254,72,Orthorhombic,56,mmm,-2.259433708,0.001621959,5.3491
NdHSO5,14.625,2.89,12.5,0,4,4.680190609,365.1787411,32,Monoclinic,14,2/m,-2.52278175,0,5.5634
RbLiF2,14.5,2.44,9,0,3,3.505967621,247.0571635,16,Monoclinic,15,2/m,-3.013163148,0.005891684,6.1394
NaZr2ZnF11,14.66666667,3.268,13.86666667,0.2,4,3.555196474,224.1156418,15,Monoclinic,12,2/m,-3.635650802,0,5.7246
TmAlO3,21.2,2.636,12.8,0,3,8.188437955,197.8539217,20,Orthorhombic,62,mmm,-3.775944359,0.019079384,6.0789
TbPO4,18.66666667,2.841666667,13.66666667,0,3,6.237468886,270.3695469,24,Monoclinic,14,2/m,-3.460216551,0.04005572,5.8918
SiO2,10,2.926666667,15.33333333,0,2,2.255075583,530.9214201,36,Trigonal,162,-3m,-3.123226568,0.149604776,5.4127
TaCdBF10,16.61538462,3.463846154,15.38461538,0.153846154,4,4.463243645,735.3950992,52,Monoclinic,14,2/m,-3.221294619,0,5.531
KB3O5,8.222222222,2.682222222,13.33333333,0,3,2.630496338,382.6177717,36,Monoclinic,15,2/m,-2.790968497,0.021733628,5.7643
H4C2O,3.428571429,2.477142857,6.857142857,0,3,1.095856282,534.0189077,56,Tetragonal,88,4/m,-0.449534091,0.189025461,5.4314
LiB(S2O7)2,9.2,3.075,15.1,0,4,2.18270421,2251.905429,160,Orthorhombic,19,222,-1.908172923,0,5.5781
Sr2P6O17,12.08,2.9408,14.64,0,3,3.1895647,659.1754704,50,Monoclinic,4,2,-2.850451842,0,5.5563
Er2P4O13,15.78947368,2.945263158,14.42105263,0,3,3.928183306,1126.823127,76,Monoclinic,14,2/m,-3.158290302,0.020880384,5.5982
Ho2Si2O7,19.81818182,2.758181818,13.27272727,0,3,5.993116235,551.9626103,44,Orthorhombic,62,mmm,-3.675094839,0,5.3233
Ga2P3H11O13,7.655172414,2.727931034,10,0,4,2.493362689,601.312512,58,Monoclinic,4,2,-1.716589226,0.02646721,5.3045
LiZn2(BH4)5,3.857142857,2.088571429,3.928571429,0.071428571,4,1.199229582,1174.05081,112,Orthorhombic,64,mmm,-0.231228242,0,5.7198
NaB3H8,2.833333333,2.054166667,4,0,3,0.886461135,237.8479088,24,Orthorhombic,59,mmm,-0.243835639,0.02856436,5.4353
MgSO4,10,2.941666667,13.66666667,0,3,3.039900201,131.5010947,12,Orthorhombic,63,mmm,-2.402174846,0,5.4889
Dy2B4O9,14.93333333,2.770666667,13.46666667,0,3,6.199414447,274.4104992,30,Triclinic,2,-1,-3.28808079,0.018478475,5.6245
LiP(HO2)2,6.5,2.66625,10.25,0,4,2.023929542,341.0729522,32,Orthorhombic,33,mm2,-2.194765021,0,5.8554
DyMg(BO2)5,10.76470588,2.772352941,13.52941176,0,4,4.299717834,619.2347989,68,Monoclinic,14,2/m,-3.102880855,0.000214365,6.0889
Na2B8O13,7.217391304,2.734782609,13.65217391,0,3,2.368705339,954.6931604,92,Monoclinic,14,2/m,-2.803870102,0,5.555
SiO2,10,2.926666667,15.33333333,0,2,2.634242418,113.625451,9,Trigonal,152,32,-3.272831344,0,5.719
K3P4H5O14,9,2.706923077,11.23076923,0,4,2.299694813,679.0646722,52,Monoclinic,15,2/m,-2.288706992,0.001796485,5.4137
SrBPO5,12.25,2.7975,13.75,0,4,3.624301794,287.8235529,24,Trigonal,152,32,-3.121286575,0,5.3874
PrF3,21.5,3.2675,13.5,0,2,6.219120187,317.0468683,24,Hexagonal,182,622,-4.271452075,0.165517203,5.456
CsLiSO4,15.14285714,2.587142857,11.71428571,0,4,3.277752098,478.0546974,28,Monoclinic,14,2/m,-2.301333417,0,5.378
AlB3(H5N)6,2.5,2.29925,4.3,0,4,0.813992325,2834.659752,320,Orthorhombic,60,mmm,-0.357340512,0.008373726,5.5355
LiBH6N,2.333333333,2.14,3.888888889,0,4,0.807620427,621.8654451,72,Orthorhombic,19,222,-0.310234979,0.167294727,5.7189
ErAl3(BO3)4,11.15,2.7755,14.3,0,4,4.368645551,183.7575714,20,Trigonal,155,32,-3.252176364,0.003915612,5.6166
NaB3H4O7,5.733333333,2.662,10.4,0,4,1.986964497,573.1354943,60,Monoclinic,15,2/m,-2.189306756,0,5.429
K3LuF6,18.2,2.761,10.8,0,3,3.356273071,200.9961147,10,Cubic,225,m-3m,-3.572912843,0.057939561,6.0081
KNdH2S2O9,12.33333333,2.832,12.13333333,0,5,3.173073713,823.6684883,60,Monoclinic,14,2/m,-2.283803649,0.011506058,5.3773
SiO2,10,2.926666667,15.33333333,0,2,2.905899681,274.6752153,24,Monoclinic,15,2/m,-3.259105474,0.01372587,5.5458
Rb3ScF6,18.6,2.77,10.8,0.1,3,3.487249123,197.7789457,10,Cubic,225,m-3m,-3.520107447,0.025049824,6.0743
KSiPCO7,10,2.867272727,14.18181818,0,5,2.383012168,309.6183135,22,Monoclinic,4,2,-2.513290767,0.082436901,5.33
Sm3B2(O2F)3,19.35714286,2.869285714,13,0,4,6.124275472,339.3017467,28,Monoclinic,15,2/m,-3.754606256,0.006883592,5.5384
LiH6ClO7,5.466666667,2.761333333,9.066666667,0,4,1.836569253,290.1198922,30,Hexagonal,186,6mm,-1.167001209,0.006700699,5.2939
BaLi2Mg(PO4)2,12,2.575714286,11.71428571,0,5,3.742570599,162.1492905,14,Trigonal,147,-3,-3.014410406,0.008847377,5.6382
Cs2KPrF6,24.2,2.741,10.8,0,4,3.925035711,236.8339845,10,Cubic,225,m-3m,-3.513127369,0.001811684,6.2956
KB(S2O7)2,10,3.067,15.1,0,4,2.133925758,1251.784666,80,Monoclinic,9,m,-1.932608528,0,5.601
KP(HO2)2,8.5,2.64625,10.25,0,4,2.25298212,200.6011116,16,Tetragonal,122,-42m,-2.18273273,0.005345232,5.6046
Cs2LiGaF6,19.8,2.825,11.8,0,4,4.176345723,181.4932364,10,Trigonal,164,-3m,-3.078533694,0,6.1115
K2TaF7,17.4,3.1,12.6,0.1,3,4.21054101,618.5928767,40,Monoclinic,14,2/m,-3.50773557,0,5.6081
Sr3B6H2O13,10.41666667,2.675416667,12.25,0,4,3.447998853,517.940107,48,Triclinic,2,-1,-2.900514172,0,5.3122
Na6Mg(SO4)4,10,2.675925926,12.14814815,0,4,2.769127557,655.4227967,54,Monoclinic,14,2/m,-2.26239672,0,5.3855
LiCl,10,2.07,9,0,2,2.14256574,131.4254064,8,Cubic,225,m-3m,-2.005343378,0.020461883,6.25
H3ClO5,6.666666667,2.995555556,11.11111111,0,3,2.150505894,365.9239573,36,Monoclinic,14,2/m,-0.820299143,0,5.4926
TbAlO3,20.4,2.606,12.8,0,3,7.628337563,203.666151,20,Orthorhombic,62,mmm,-3.739704173,0.009000525,5.5982
H13S2N3O8,5,2.707692308,8.384615385,0,4,1.854096737,885.7484489,104,Triclinic,2,-1,-1.156254713,0,5.3027
Li2SO4,7.714285714,2.614285714,11.71428571,0,3,2.211934954,165.0747488,14,Triclinic,1,1,-2.203660862,0.107608335,5.7329
Si2Cl2O3,12.28571429,2.92,15.71428571,0,3,1.813360302,641.2828367,28,Trigonal,148,-3,-2.696305309,0.029810339,5.674
K2MgP4(HO2)8,7.935483871,2.720967742,10.58064516,0,5,2.172311792,374.9058176,31,Triclinic,2,-1,-2.214848073,0,5.3681
Ho4(B2O5)3,16.72,2.7504,13.2,0,3,6.625645561,483.4909752,50,Monoclinic,15,2/m,-3.374814773,0.038471364,5.5787
AlClO,12.66666667,2.736666667,15.33333333,0,3,2.890743842,90.1101075,6,Orthorhombic,59,mmm,-2.785187892,0,5.594
KBa2(PO3)5,14.17391304,2.832608696,13.91304348,0,4,3.282186829,717.0086,46,Monoclinic,7,m,-2.916897261,0,5.32
SiO2,10,2.926666667,15.33333333,0,2,2.43553395,122.8958367,9,Hexagonal,181,622,-3.263757991,0.009073353,5.5318
Cs2NaHoCl6,29,2.27,10.8,0,4,3.459680689,319.874777,10,Cubic,225,m-3m,-2.497521566,0,5.2906
CsPr(PO3)4,15,2.886666667,14.22222222,0,4,3.819114638,1025.600494,72,Monoclinic,14,2/m,-2.913337414,0.007002893,5.5689
Lu3B5O12,16.7,2.7645,13.3,0,3,6.990100504,732.5735016,80,Orthorhombic,53,mmm,-3.38338215,0.001240689,5.4265
LiNd(PO3)4,12.16666667,2.897777778,14.22222222,0,4,3.244846376,478.0438272,36,Monoclinic,15,2/m,-2.925790702,0,5.9792
Li2BeSiO4,7,2.39875,10.25,0,4,2.740899112,139.3150647,16,Monoclinic,7,m,-2.96978001,0,6.0565
K5B19O31,7.963636364,2.718181818,13.6,0,3,2.241390297,1328.913965,110,Monoclinic,15,2/m,-2.832103524,0,5.4738
BaGaF5,18.85714286,3.228571429,14.28571429,0,3,5.119824768,391.8513543,28,Orthorhombic,19,222,-3.520800129,0,5.7568
AlPO4,10,2.926666667,15.33333333,0,3,2.62151159,231.7451769,18,Trigonal,152,32,-3.127172203,0,5.6126
LiMgAl3(SO4)6,9.771428571,3.004571429,14.91428571,0,5,2.66736294,857.3194776,70,Triclinic,2,-1,-2.336295159,0.010881153,5.8981
