formula_pretty,avg_atomic_number,avg_electronegativity,valence_electron_count,fraction_transition_metals,nelements,density,volume,nsites,crystal_system,spacegroup_number,point_group,formation_energy_per_atom,energy_above_hull,band_gap
Rb2U(PtSe2)3,50.33333333,2.096666667,10.91666667,0.25,4,6.998436413,696.6219881,24,Orthorhombic,69,mmm,-1.085893723,0,0
V4C3,15.71428571,2.024285714,8.857142857,0.571428571,2,5.730003925,69.49281682,7,Trigonal,160,3m,-0.495102619,0.119646789,0
PaTiTc2,49.75,1.71,5.25,0.75,3,11.30684336,69.7449111,4,Cubic,225,m-3m,-0.361548777,0,0
Ti4Al11Ni,16.1875,1.61125,10.5625,0.3125,3,3.650526568,248.798536,16,Tetragonal,99,4mm,-0.39525708,0.052130194,0
Mg(CuO2)4,14.76923077,2.802307692,13.38461538,0.307692308,3,4.647838006,145.2251333,13,Cubic,216,-43m,-1.018522745,0.113782087,0
YbPaIr2,78.75,1.75,6,0.5,3,16.38952931,79.88950964,4,Cubic,225,m-3m,-0.857215429,0.223859269,0
Sr4RuN4,24.88888889,2.017777778,8.444444444,0.111111111,3,5.091729896,331.0666995,18,Triclinic,2,-1,-0.598389018,0.112285461,0
Co2NiO6,14.44444444,2.923333333,13.77777778,0.333333333,3,4.56096836,198.4623289,18,Orthorhombic,64,mmm,-0.938489987,0.050460871,0
CaBi2O5,28.25,2.78,14,0,3,5.578207718,320.3285035,16,Orthorhombic,63,mmm,-1.780647605,0.19669399,0
MnZn(GeO3)2,16.7,2.786,14.3,0.2,4,4.746227757,506.0775745,40,Monoclinic,14,2/m,-2.044003002,0.036688888,0
NiO2,14.66666667,2.93,14,0.333333333,2,4.677997362,386.3138762,36,Trigonal,156,3m,-0.526422326,0.287716617,0
CrB,14.5,1.85,9.5,0.5,2,6.356212422,65.63257254,8,Tetragonal,141,4/mmm,-0.410764251,0,0
NaNd2IrO6,25.6,2.605,11.2,0.1,4,7.468347961,266.6731592,20,Monoclinic,14,2/m,-2.62129726,0.005412504,0
Ti2FeSe4,29.42857143,2.158571429,11.42857143,0.428571429,3,5.712290192,543.5070585,28,Trigonal,164,-3m,-1.148945211,0.073636186,0
FeSnO6,15.5,3.05375,14.75,0.125,3,3.937108617,114.1094171,8,Cubic,225,m-3m,-0.672434416,0.651337384,0
MnVN2,15.5,2.315,10.5,0.5,3,5.417518296,41.03991049,4,Trigonal,160,3m,-0.665467957,0.174102295,0
Mo8O23,16.77419355,3.109677419,13.41935484,0.258064516,2,4.057130275,929.5005472,62,Monoclinic,13,2/m,-1.931281323,0.003938276,0.3371
Li3V2(CO3)4,8.333333333,2.746666667,12.42857143,0.095238095,4,2.540933917,474.1143355,42,Monoclinic,4,2,-2.074100639,0.087756936,0.4142
SnSb,50.5,2.005,14.5,0,2,6.854921113,58.25155721,2,Tetragonal,123,4/mmm,0.109661245,0.109661245,0
UHg3,83,1.845,9.75,0.75,2,14.70084043,94.8598078,4,Hexagonal,187,-6m2,0.159286731,0.159286731,0
CeIn2Pd3,49,1.88,9.833333333,0.5,3,9.545853741,479.4254655,24,Orthorhombic,62,mmm,-0.671081088,0,0
Na2ScSiO5,10.77777778,2.48,11,0.111111111,4,2.937991338,899.8721749,72,Orthorhombic,29,mm2,-2.835659042,0.061997303,0
LaAs,45,1.64,9,0.5,2,6.884688263,51.57360648,2,Tetragonal,123,4/mmm,-1.477558754,0.370016605,0
MnSnRu2,40.75,1.9775,9.25,0.75,3,10.41659191,59.90545997,4,Cubic,225,m-3m,-0.227357654,0,0
NaPrCr4O12,14.55555556,2.776666667,12.22222222,0.222222222,4,4.342694297,215.6117309,18,Tetragonal,123,4/mmm,-1.87249198,0.305411624,0
Cs2GeTe4,50,1.712857143,11.42857143,0,3,4.838274021,1165.332994,28,Orthorhombic,62,mmm,-0.820066914,0,0.538
Li19La12Zr8O48,16.6091954,2.385977011,9.827586207,0.229885057,4,4.842793607,1130.335194,87,Tetragonal,82,-4,-3.041729758,0.093175427,0.0115
Al2O,11.33333333,2.22,14,0,2,2.52064892,46.0894914,3,Cubic,225,m-3m,-0.141534848,1.762104601,0
CsCa(SeO4)3,16.05882353,2.983529412,14.29411765,0,4,3.285195246,608.4300894,34,Monoclinic,11,2/m,-1.327013621,0.106879483,0
MgTi3,19.5,1.4825,3.5,0.75,2,3.775663732,73.84515474,4,Cubic,225,m-3m,0.228289076,0.228289076,0
BeIn3,37.75,1.7275,10.25,0,2,6.382623442,91.95974183,4,Tetragonal,139,4/mmm,0.461126501,0.461126501,0
Pr3(ZnAs3)2,39.54545455,1.797272727,11.18181818,0.181818182,3,6.216217967,535.9007177,22,Monoclinic,11,2/m,-0.581182191,0.293695189,0
PuCu6,38.28571429,1.811428571,9.857142857,0.857142857,2,10.2280961,406.0561085,28,Orthorhombic,62,mmm,0.049379241,0.049379241,0
CeMgCd2,41.5,1.4525,7.25,0.5,3,6.504860083,99.36465959,4,Cubic,225,m-3m,-0.202599081,0,0
Ca2As,24.33333333,1.393333333,6.333333333,0,2,3.130575688,164.5144145,6,Tetragonal,139,4/mmm,-1.110494664,0.047128736,0
Sr(ZnAs)2,32.8,1.722,11.2,0.4,3,5.464223645,111.9180619,5,Trigonal,164,-3m,-0.663726355,0,0.254
P3RuO9,12.38461538,3.056153846,15.15384615,0.076923077,3,3.31172746,338.9401903,26,Monoclinic,15,2/m,-2.27194884,0.020777354,0
YTiO3,17,2.616,11,0.4,3,5.200236792,59.00107229,5,Cubic,221,m-3m,-3.358017142,0.30271702,0
V4Os,33.6,1.744,5.6,1,2,9.575172701,68.32730547,5,Orthorhombic,69,mmm,-0.156737126,0.178366098,0
Tl(TeMo)3,51.85714286,2.057142857,11.28571429,0.428571429,3,7.786654371,373.1967785,14,Hexagonal,176,6/m,-0.287510241,0.114507831,0
Ba2MgCuWO6,25,2.544545455,10.81818182,0.181818182,5,5.73875329,185.8649318,11,Monoclinic,12,2/m,-2.280799592,0.403949753,0.8854
Er3ReB7,28.54545455,1.809090909,9.727272727,0.090909091,3,9.916011773,255.7659174,22,Orthorhombic,63,mmm,-0.647686447,0,0
UAs,62.5,1.78,9,0,2,12.05657618,43.10233186,2,Cubic,221,m-3m,-1.015469989,0.1300241,0
Eu3AuO6,31.6,2.678,11.6,0.1,3,8.639691724,143.9290858,10,Triclinic,2,-1,-2.540529373,0.157813394,0
Li5Co2O2F5,9.285714286,2.531428571,10,0.142857143,4,3.688174201,125.8682316,14,Tetragonal,139,4/mmm,-2.534619144,0.089302536,0.0002
Zn13Co,29.78571429,1.666428571,11.78571429,1,2,7.767907608,194.3696483,14,Monoclinic,12,2/m,-0.040924318,0,0
Ba8LiNb7O24,23.25,2.5465,10.9,0.175,4,6.085644565,583.8931859,40,Trigonal,156,3m,-3.173765337,0.018927002,0
Y5(Ge5Os2)2,43.10526316,1.842105263,9.842105263,0.473684211,3,8.748730496,733.3432323,38,Tetragonal,127,4/mmm,-0.615750331,0,0
Li2CoOF3,9.714285714,2.745714286,11.14285714,0.142857143,4,3.250537662,148.974048,14,Monoclinic,5,2,-2.420313972,0.119715768,0.9577
NbSe2,36.33333333,2.233333333,12.33333333,0.333333333,2,5.951284779,69.98606492,3,Trigonal,164,-3m,-0.931772326,0.051671132,0
Sr4MgMn2(GaO5)2,18.73684211,2.433157895,11.05263158,0.105263158,5,4.629610728,281.2397346,19,Orthorhombic,69,mmm,-2.596804962,0.106515331,0
Eu3(SF2)2,28.55555556,2.742222222,12.11111111,0,3,6.390877134,154.8624999,9,Tetragonal,139,4/mmm,-3.340143579,0,0
Ho(SiPd)2,37.4,1.886,10.2,0.4,3,8.562398089,84.15592303,5,Tetragonal,139,4/mmm,-0.907235997,0,0
Tb6Ta4Al43,23.41509434,1.543962264,11.26415094,0.075471698,3,5.027308527,1874.506901,106,Hexagonal,193,6/mmm,-0.341266442,0,0.0244
CoNi,27.5,1.895,9.5,1,2,9.006848177,21.68611621,2,Orthorhombic,65,mmm,0.107644065,0.123119852,0
MnAu4,68.2,2.342,10.2,1,2,15.77549846,88.71412234,5,Trigonal,166,-3m,-0.126533251,0.112884138,0
K2BaV2ClO7,16.38461538,2.540769231,11,0.153846154,5,3.322801345,464.614325,26,Hexagonal,194,6/mmm,-2.384004708,0.143171619,0
Cr2CuO4,15.57142857,2.711428571,12.42857143,0.428571429,3,5.108807552,150.5142785,14,Tetragonal,141,4/mmm,-1.936370316,0.023419503,0
La2(N4O9)3,10.09756098,3.208780488,15.07317073,0.048780488,3,2.303494094,2531.364798,164,Cubic,213,432,-0.704518596,0.461398394,0
Li3V2(OF)4,9.461538462,2.76,11.15384615,0.153846154,4,2.923143218,149.229426,13,Monoclinic,6,m,-2.726492889,0.088686661,0
Rb3Ta,46,0.99,2,0.25,2,3.391651285,214.1254584,4,Tetragonal,139,4/mmm,1.45552369,1.45552369,0
Na3TaF6,16,2.817,11,0.1,3,3.821598518,158.123046,10,Cubic,225,m-3m,-2.765995335,0.333256154,0
Tb5Ir2,68.42857143,1.414285714,4.714285714,0.285714286,2,10.54458421,371.3520415,14,Monoclinic,15,2/m,-0.638593789,0,0
Rb6Mo27S31,28.9375,2.2378125,10.375,0.421875,3,4.783027589,2844.877445,128,Trigonal,167,-3m,-1.023770602,0.01216081,0
RbBeN3,12.4,2.302,9.6,0,3,2.015480684,1799.381918,80,Orthorhombic,61,mmm,0.854925659,1.347948162,0
Th(SiPd)2,42,1.9,10.2,0.4,3,9.319570029,89.27574296,5,Tetragonal,139,4/mmm,-0.96506371,0,0
MgTiF5,11.28571429,3.25,13,0.142857143,3,3.056601115,363.2562688,28,Monoclinic,14,2/m,-3.650331576,0.082737205,0.3184
Mn4SbAs,30.66666667,1.738333333,9.666666667,0.666666667,3,7.615365043,90.80386251,6,Tetragonal,99,4mm,0.008092433,0.138567443,0
V2TcRu,33.25,1.84,6.25,1,3,9.256192656,53.99025629,4,Cubic,225,m-3m,-0.376946579,0,0
Tl2Pt2O7,34,2.898181818,14.36363636,0.181818182,3,11.38538928,265.7152037,22,Cubic,227,m-3m,-1.149196038,0,0.6958
ThGaNi,49.66666667,1.673333333,8.666666667,0.333333333,3,10.50326912,170.9606902,9,Hexagonal,189,-6m2,-0.639901276,0,0
GeC,19,2.28,14,0,2,6.659834984,21.10649809,2,Cubic,225,m-3m,1.271791284,1.271791284,0
NdAs3,39.75,1.92,12,0,2,6.93112446,88.40559865,4,Tetragonal,139,4/mmm,-0.657691258,0.232896002,0
Ba2TmMgRuO6,25.90909091,2.470909091,10.27272727,0.090909091,5,6.529183713,169.1163028,11,Trigonal,160,3m,-2.472348767,0.433140938,0
Ca(CuO2)2,15.71428571,2.651428571,12.57142857,0.285714286,3,4.571289237,503.8353219,42,Trigonal,156,3m,-1.472286521,0.237956124,0
Li5Co5(SnO6)2,14.41666667,2.479166667,11.25,0.208333333,4,5.364339568,234.8826143,24,Monoclinic,5,2,-1.764418434,0.062811973,0
GdFe5,32.33333333,1.725,7.166666667,0.833333333,2,8.00473298,90.54440553,6,Hexagonal,191,6/mmm,0.00975087,0.015075332,0
Tb2Mn3Al,36.33333333,1.41,6.666666667,0.5,3,7.637972909,110.8000413,6,Trigonal,166,-3m,0.100093702,0.240025611,0
Ga3Ge,31.25,1.86,13.25,0,2,6.171659739,75.82317781,4,Cubic,221,m-3m,0.087421188,0.087421188,0
ZnC2(N3Cl2)2,11.69230769,2.894615385,15.23076923,0.076923077,4,1.582843256,661.5172694,26,Triclinic,2,-1,0.735155748,1.064948919,0.1566
Mn2CoSb,32,1.7575,9.5,0.75,3,8.973981217,53.7667327,4,Cubic,216,-43m,-0.002062144,0.127506579,0
Nb5V5Si6,25.25,1.721875,8.375,0.625,3,5.995342045,245.8821416,16,Orthorhombic,38,mm2,-0.447695147,0.231141954,0
ZnPb(IO4)6,19.4375,3.203125,16,0.03125,4,4.575361442,514.6434867,32,Triclinic,2,-1,-0.423552176,0.334916556,0
Rb(PRh)2,31.4,1.952,9.8,0.4,3,5.561405121,105.4672511,5,Tetragonal,139,4/mmm,-0.728778243,0,0
RbCu3S2,26,1.946666667,11,0.5,3,5.075857364,222.6125745,12,Monoclinic,12,2/m,-0.61527406,0.006514159,0.4676
Co3P,24,1.9575,10.5,0.75,2,8.002156539,172.4613899,16,Tetragonal,82,-4,-0.257176049,0.047578091,0
EuFe2,38.33333333,1.62,6.333333333,0.666666667,2,7.827329106,223.7329036,12,Hexagonal,194,6/mmm,0.343701286,0.343701286,0
CeMg2,27.33333333,1.246666667,2.333333333,0,2,3.907255005,160.4128195,6,Cubic,227,m-3m,-0.005196522,0.043326446,0
Na6Cr2As(CO4)4,10.31034483,2.631724138,11.89655172,0.068965517,5,2.931864721,703.3099537,58,Cubic,203,m-3,-1.993497602,0.064194695,0
BaEuTi4O12,16.83333333,2.751666667,11.83333333,0.222222222,4,3.952019748,282.6733461,18,Tetragonal,123,4/mmm,-2.884442478,0.334739852,0
Na3(FeS2)2,16.55555556,1.863333333,9.222222222,0.222222222,3,2.74134325,748.4981374,36,Orthorhombic,62,mmm,-0.851357815,0.151512547,0
Rb,37,0.82,1,0,1,1.484541625,2772.408625,29,Cubic,217,-43m,0.039105245,0.039105245,0
Te2AuCl,50,2.475,15,0.25,3,7.370942511,219.7036113,8,Orthorhombic,63,mmm,-0.304980637,0,0
Sr3WN3,29.85714286,2.047142857,8.142857143,0.142857143,3,5.544582239,292.7321784,14,Hexagonal,176,6/m,-0.970605918,0.022271046,0
K(MoO2)4,19.30769231,2.844615385,11.76923077,0.307692308,3,5.824660825,628.1661948,52,Monoclinic,13,2/m,-1.785969462,0.207016618,0
Zn3P2(HO2)4,11.05882353,2.685294118,11.64705882,0.176470588,4,2.895346588,223.7883405,17,Triclinic,2,-1,-1.205242293,0.621367974,0
TmMgTl,54,1.393333333,6,0,3,9.014899913,219.7254716,9,Hexagonal,189,-6m2,-0.270035253,0,0
Er4MnS7,34.08333333,2.0475,10.91666667,0.083333333,3,6.145411931,256.2730536,12,Monoclinic,8,m,-2.144296876,0.017587447,0.5554
CoSbS,31.33333333,2.17,13.33333333,0.333333333,3,6.945341914,406.941284,24,Orthorhombic,61,mmm,-0.326247906,0.044278374,0.2411
Nd3Ge13Rh4,38.8,1.9335,11.35,0.2,3,7.834998343,758.1758059,40,Cubic,223,m-3m,-0.542322517,0.035797107,0
Mg2Tl,35,1.413333333,5.666666667,0,2,6.064721569,207.8109869,9,Hexagonal,189,-6m2,-0.000503247,0.014480269,0
Rb2Co2(SO4)3,14.31578947,2.864210526,13.68421053,0.105263158,4,3.641815833,1052.347654,76,Cubic,198,23,-1.790584009,0.140999305,0.0073
Yb(ZnGe)2,38.8,1.684,11,0.4,3,8.222953842,90.69869656,5,Tetragonal,139,4/mmm,-0.303456803,0.079366992,0
Zr3Ti2Ga3,32.125,1.5625,7.375,0.625,3,6.427602279,298.9439448,16,Hexagonal,193,6/mmm,-0.512443377,0,0
ThSnPt,72.66666667,1.846666667,9,0.333333333,3,11.53595566,78.56960329,3,Cubic,216,-43m,-1.19203333,0,0.6738
CeVO4,18.83333333,2.751666667,12,0.166666667,3,5.30394606,319.4066854,24,Monoclinic,14,2/m,-3.053251685,0.171570502,0.734
CaSmCr4O12,15.22222222,2.782777778,12.27777778,0.222222222,4,4.673201171,209.7935589,18,Orthorhombic,38,mm2,-2.120436592,0.291205678,0.0206
DyThRu2,61,1.73,5.5,0.5,3,11.88426954,83.37131918,4,Cubic,225,m-3m,-0.424819348,0.010470128,0
YbEuHg2,73.25,1.575,7.5,0.5,3,11.50323851,104.8276014,4,Cubic,225,m-3m,-0.547427629,0.045666262,0
AgClO2,20,2.9925,15,0.25,3,3.591680791,162.1111263,8,Monoclinic,12,2/m,-0.242563137,0.250159443,0
Ca3MnF6,13.9,2.843,11.5,0.1,3,2.460127559,195.1791348,10,Triclinic,2,-1,-3.213976759,0.586452182,0
Ca3V2O7,13.5,2.528333333,10.66666667,0.166666667,3,4.01664734,276.2539551,24,Orthorhombic,36,mm2,-2.994618132,0.004302287,0.9998
Na2MgMn4O8,13.2,2.459333333,10.66666667,0.266666667,4,3.912707888,177.4112333,15,Monoclinic,12,2/m,-2.062992299,0.107955586,0.4368
Hg3SO6,30.4,2.922,14.8,0.3,3,8.196428026,443.5762315,30,Trigonal,152,32,-1.185863577,0.001906669,0.5603
Sr4LiMn2Ga2O11,17.75,2.467,11.25,0.1,5,5.241059075,247.9965408,20,Monoclinic,12,2/m,-2.451036809,0.176607936,0
Dy2Mn12Ga5,30.89473684,1.583684211,8.157894737,0.631578947,3,8.289117293,534.0219434,38,Hexagonal,194,6/mmm,-0.056735979,0.214105316,0
CaSe2O7,14.4,3.018,14.6,0,3,2.857334695,360.3055786,20,Triclinic,2,-1,-1.448083682,0.178905012,0
Cs2CoSe2,41,1.712,8.6,0.2,3,4.415154889,363.0597849,10,Orthorhombic,72,mmm,-0.86606665,0.021257902,0
Ce7(GePd2)2,50.30769231,1.589230769,6.846153846,0.307692308,3,8.332894794,1236.918546,52,Monoclinic,14,2/m,-0.466750877,0.201563434,0
Gd3AlN,42.4,1.65,7.4,0,3,5.16794034,164.7507169,5,Cubic,221,m-3m,1.016316431,1.916497476,0
Bi3As,70.5,2.06,15,0,2,10.21654977,228.1534618,8,Hexagonal,194,6/mmm,0.27677003,0.27677003,0
Nb4Fe3Si5,26,1.7825,9.5,0.583333333,3,6.798755665,995.902055,72,Orthorhombic,31,mm2,-0.559454235,0.028451988,0
Dy4MnS7,33.41666667,2.040833333,10.91666667,0.083333333,3,5.876843929,262.6058269,12,Monoclinic,8,m,-2.157549495,0.019509317,0.3597
NpTi3,39.75,1.495,3.75,0.75,2,8.66161494,72.9659346,4,Cubic,221,m-3m,0.230663705,0.230663705,0
Ba2LiUO6,25.5,2.478,10.4,0,4,6.669693893,306.5392779,20,Orthorhombic,58,mmm,-3.137867113,0.019972998,0
Li3Ni2(PO4)3,10.3,2.7305,13,0.1,4,2.999188425,468.5359125,40,Trigonal,148,-3,-2.273124091,0.061836366,0.1063
Li4Fe3(SiO4)3,10.36363636,2.563181818,11.90909091,0.136363636,4,3.087485412,253.6123315,22,Monoclinic,5,2,-2.437145052,0.116709456,0.0098
Lu5Si3C,44.77777778,1.622222222,7.888888889,0,3,8.795206984,366.6890714,18,Hexagonal,193,6/mmm,-0.61990816,0.021620171,0
Fe5O8,14.92307692,2.820769231,12.92307692,0.384615385,2,5.164421887,130.9352848,13,Trigonal,166,-3m,-1.456270852,0.185163141,0
MgMnCrS4,17.85714286,2.12,11.28571429,0.285714286,4,3.191869708,270.0037956,14,Orthorhombic,74,mmm,-1.110817161,0.046872891,0
Eu(BOs)4,43,2.017777778,9.666666667,0.444444444,3,13.67060222,232.2776818,18,Tetragonal,86,4/m,-0.307224466,0,0
Fe3Co3B2,21.125,1.90125,9.625,0.75,3,7.846804199,154.8873122,16,Monoclinic,4,2,-0.213163999,0.016624645,0
EuY2O4,24.71428571,2.485714286,10.42857143,0.285714286,3,6.266813678,417.3578355,28,Monoclinic,11,2/m,-3.683923051,0.032677621,0.4062
Li3Co4TeO8,14.5625,2.505,11.4375,0.25,4,5.262351898,161.6096237,16,Monoclinic,12,2/m,-1.568578555,0.111887009,0
CuH6(SeO4)2,9.823529412,2.807058824,10.41176471,0.058823529,4,3.16754438,372.7406764,34,Monoclinic,14,2/m,-1.19321297,0.017935102,0.2459
La2ZnP2O,30.33333333,1.945,10.66666667,0.5,4,3.91308765,178.724346,6,Tetragonal,123,4/mmm,-0.403142314,1.496675716,0
Ta5CrNiS10,33.94117647,2.168823529,11.82352941,0.411764706,4,7.369252793,602.1265037,34,Trigonal,156,3m,-1.201105625,0.094488745,0
LuGePt,60.33333333,1.853333333,9,0.333333333,3,13.30308287,221.0331866,12,Orthorhombic,62,mmm,-1.119249618,0,0
Sr6Zn(RuO6)2,21.04761905,2.525238095,11.04761905,0.142857143,4,5.670516796,288.5214467,21,Monoclinic,12,2/m,-2.504355141,0.002323705,0.065
LuMgMoS4,27,2.151428571,10.71428571,0.142857143,4,4.54746603,309.2675327,14,Orthorhombic,74,mmm,-1.513441096,0.199340227,0
Ca(SbO2)2,22,2.694285714,13.71428571,0,3,5.108228087,225.9868053,14,Orthorhombic,74,mmm,-2.02534661,0.221688401,0.2207
Mg2TiGa3S8,19.07142857,2.159285714,12.5,0.071428571,4,3.070403088,304.0312878,14,Trigonal,156,3m,-1.239906058,0.070607252,0
Co(Mo3O17)2,13.43902439,3.214634146,14.36585366,0.170731707,3,2.478178559,1579.412388,82,Monoclinic,14,2/m,-0.753184667,0.451905647,0.0142
CeCoGe3,36.2,1.806,10.8,0.2,3,7.665580972,90.32500477,5,Tetragonal,107,4mm,-0.570767637,0,0
Y3Co2,34.2,1.484,5.4,1,2,5.589344234,457.0243878,20,Orthorhombic,58,mmm,-0.129559904,0.010830434,0
DyB12,9.692307692,1.976923077,12.23076923,0,2,4.624786007,104.9265094,13,Cubic,225,m-3m,-0.265182012,0,0
Sr2NbWO6,23.9,2.65,11.1,0.2,4,6.498897501,140.0155663,10,Cubic,225,m-3m,-2.877325457,0.102215774,0.7212
TbB6,13.57142857,1.905714286,11.57142857,0,2,5.430576862,68.42998247,7,Cubic,221,m-3m,-0.474796038,0.008686889,0
Tm(CuTe)3,44.57142857,1.892857143,12,0.428571429,3,7.36395647,334.8031895,14,Trigonal,148,-3,-0.573168662,0.05085897,0.8338
LiMn2O2F3,12,2.8625,12.25,0.25,4,3.794526118,180.1317796,16,Monoclinic,15,2/m,-2.554232204,0.03301791,0.8295
NaBeHCO5,6.888888889,2.716666667,10.88888889,0,5,1.753364657,947.1918734,72,Tetragonal,124,4/mmm,-1.696542991,0.226082633,0
LiBi2(PO4)3,17.22222222,2.937222222,14.88888889,0,4,4.266933146,552.4703427,36,Triclinic,2,-1,-2.299484701,0.06079,0.5567
Zr2GaFe3,31.5,1.66,7.5,0.833333333,3,7.741111928,180.061525,12,Hexagonal,194,6/mmm,-0.384267266,0,0
MgPPt5,59.57142857,2.128571429,9.571428571,0.714285714,3,16.07141063,106.4944204,7,Tetragonal,123,4/mmm,-0.576185166,0,0
ZrInCo2,35.75,1.7175,8.75,0.75,3,8.802162563,61.1057262,4,Cubic,225,m-3m,-0.264607109,0.008770348,0
CuH8C4(NO3)2,5.857142857,2.686666667,9.571428571,0.047619048,5,1.713889133,472.1547754,42,Monoclinic,14,2/m,-0.878184069,0.162262564,0
Eu(AsPd)2,44.2,1.992,10.6,0.4,3,8.498464989,100.5583693,5,Monoclinic,8,m,-0.790939588,0.00704624,0
Cu2H18N7F2,4.931034483,2.504827586,6.172413793,0.068965517,4,1.737517632,537.633851,58,Monoclinic,5,2,-0.441806998,0.19406495,0
Na7Sn12,35.63157895,1.580526316,9.210526316,0,2,4.465754192,2358.122608,76,Triclinic,2,-1,-0.187318514,0.017745933,0.3226
NpPS4,28.66666667,2.311666667,13.66666667,0,3,4.58259063,1148.628266,48,Tetragonal,142,4/mmm,-0.894481056,0.18286243,0
MgB4,6.4,1.894,10.8,0,2,2.527545269,177.5125531,20,Orthorhombic,62,mmm,-0.172792324,0,0.3641
MgCo4(P2O7)4,11.31707317,2.99195122,14.7804878,0.097560976,4,3.060320292,518.6259871,41,Triclinic,1,1,-2.205653966,0.088562954,0.1141
Y2MgRu,33.5,1.4875,4,0.75,3,5.621265263,89.56228469,4,Cubic,225,m-3m,-0.166925094,0.060845909,0
Sr2TbSeO6,22.3,2.619,11.9,0,4,5.93935674,142.341434,10,Cubic,225,m-3m,-2.650653773,0.184134679,0
CeCd3,50.5,1.5475,9.75,0.75,2,8.137548343,97.40730617,4,Cubic,225,m-3m,-0.322184762,0,0
Rb2PdC4N4O,15,2.47,12,0.083333333,5,2.472869386,1067.487152,48,Orthorhombic,52,mmm,-0.052726562,0.549241355,0
SrMg,25,1.13,2,0,2,2.309707601,241.4017709,6,Trigonal,156,3m,0.137021931,0.204642881,0
Ho2In3Cu,51.66666667,1.616666667,9.333333333,0.166666667,3,8.48957564,144.3236353,6,Trigonal,156,3m,-0.376940267,0.031052554,0
MnV2Fe,24.25,1.66,6.25,1,3,7.41579819,47.61999542,4,Cubic,225,m-3m,-0.191578074,0.025323856,0
YOs3,66.75,1.955,6.75,1,2,15.97844505,137.0952772,8,Hexagonal,194,6/mmm,0.388294606,0.661080371,0
PtS2NO9,14.53846154,3.187692308,15.46153846,0.076923077,4,3.403982696,407.0539522,26,Triclinic,2,-1,-0.672044485,0.594427421,0
Pr3Cu,51.5,1.3225,5,0.25,2,7.084571757,113.9756383,4,Tetragonal,139,4/mmm,0.154553798,0.233123678,0
BaEuYCrO6,23,2.561,11,0.2,5,6.210064138,140.7003137,10,Cubic,216,-43m,-2.892116334,0.26779535,0
Ba6Ca12Cu15Hg3O37,21.19178082,2.45369863,11.35616438,0.246575342,5,5.726573087,1000.931641,73,Monoclinic,12,2/m,-2.057572152,0.025236989,0
EuIn2Ni9,34.41666667,1.829166667,9.916666667,0.75,3,8.946389203,337.7509801,24,Tetragonal,127,4/mmm,-0.144316252,0,0
SrC7N10,8.333333333,2.733333333,13.88888889,0,3,3.963843704,261.207481,36,Monoclinic,7,m,0.125178412,0.345626929,0
Nd11Ti16O48,18.61333333,2.697333333,11.53333333,0.213333333,3,5.395720134,1920.678116,150,Orthorhombic,38,mm2,-3.588119159,0.09431075,0
MgCr2(SbO4)2,17.38461538,2.788461538,13.23076923,0.153846154,4,5.375379326,154.3998974,13,Monoclinic,8,m,-2.053625209,0.219009936,0.5544
Ca7Ni(IrO6)2,19,2.481363636,10.63636364,0.136363636,4,5.408376575,281.1378749,22,Trigonal,155,32,-2.527796465,0.041106248,0.0866
Tl4Ag18Te11,52.78787879,1.949090909,12.90909091,0.545454545,3,8.308885115,1663.863885,66,Tetragonal,107,4mm,-0.266013637,0,0
U(SiPt)2,55.2,1.948,10.2,0.4,3,13.3135666,85.35801745,5,Tetragonal,139,4/mmm,-0.685886162,0.06209392,0
MgFeCu2SnS4,23.33333333,2.135555556,12.22222222,0.333333333,5,4.222010042,178.644002,9,Orthorhombic,23,222,-0.534036294,0.27296055,0.0528
Nb6CdS8,28.13333333,2.128666667,11.33333333,0.466666667,3,5.571511734,276.0960495,15,Trigonal,147,-3,-1.261373705,0.033029042,0
Mn3Cr2O8,14.38461538,2.73,12.38461538,0.384615385,3,4.297853459,153.3101249,13,Trigonal,166,-3m,-1.902395447,0.20299854,0
Li9Mn21O40,12.45714286,2.556714286,11.37142857,0.3,3,4.079837131,755.4712198,70,Triclinic,1,1,-2.061169921,0.005166712,0.3657
MgFeN,15,2.06,8.333333333,0.333333333,3,4.144017765,150.9171896,12,Orthorhombic,62,mmm,-0.294112464,0.263063647,0
VZnRu2,35.25,1.92,8.25,1,3,9.935205868,53.23150065,4,Cubic,225,m-3m,-0.219651397,0,0
Cu3As,30,1.97,12,0.75,2,8.042104738,438.6633645,32,Cubic,220,-43m,0.0029221,0.0029221,0
Zr6MnBi2,47.88888889,1.507777778,6.777777778,0.777777778,3,8.262832225,205.0329785,9,Hexagonal,189,-6m2,-0.280910316,0,0
Tm7Mg3Ge8,43.05555556,1.597777778,7.722222222,0,3,7.796798786,782.2963603,36,Monoclinic,4,2,-0.705501449,0.012562222,0
Mn2NiO3,17,2.555,12,0.5,3,5.566697754,64.60187452,6,Trigonal,164,-3m,-1.683973828,0.077101116,0.6211
Lu6(Ga3Co)7,37.23529412,1.729117647,10.41176471,0.205882353,3,8.68085407,1119.612512,68,Tetragonal,127,4/mmm,-0.458891331,0.02409875,0
Zr3V,35.75,1.405,4.25,1,2,6.302844274,171.0444919,8,Hexagonal,194,6/mmm,0.178907155,0.178907155,0
